ID-Android-App_Engagement,2015-10-22,2015-10-22,22.11,45398,732,8
ID-Android-App_Engagement,2015-10-21,2015-10-21,25.04,44272,809,6
ID-IOS-App_Engagement,2015-11-01,2015-11-01,30.7,17822,80,4
ID-IOS-App_Engagement,2015-10-31,2015-10-31,30.22,17993,57,3
ID-IOS-App_Engagement,2015-10-30,2015-10-30,30.77,13735,63,1
ID-IOS-App_Engagement,2015-11-02,2015-11-02,28.7,18198,49,3
ID-IOS-App_Engagement,2015-11-03,2015-11-03,31.06,16066,64,2
ID-Android-App_Engagement,2015-10-20,2015-10-20,22.69,46780,797,7
ID-Android-App_Engagement,2015-10-19,2015-10-19,23.61,48411,785,10
ID-IOS-App_Engagement,2015-11-04,2015-11-04,11.3,8786,24,
ID-Android-App_Engagement,2015-10-30,2015-10-30,19.04,39726,630,11
ID-Android-App_Engagement,2015-10-31,2015-10-31,21.04,41116,678,6
TH-Android-App_Engagement,2015-10-27,2015-10-27,2.31,2952,65,1
TH-Android-App_Engagement,2015-10-26,2015-10-26,1.72,2733,56,3
TH-Android-App_Engagement,2015-10-25,2015-10-25,1.85,3060,57,2
TH-Android-App_Engagement,2015-10-28,2015-10-28,1.42,2507,54,1
TH-Android-App_Engagement,2015-10-29,2015-10-29,1.27,2265,46,1
TH-Android-App_Engagement,2015-11-01,2015-11-01,2.68,3989,105,2
TH-Android-App_Engagement,2015-10-31,2015-10-31,1.12,2387,46,1
TH-Android-App_Engagement,2015-10-30,2015-10-30,1.64,2356,49,2
TH-Android-App_Engagement,2015-10-24,2015-10-24,1.77,2654,47,3
TH-Android-App_Engagement,2015-10-23,2015-10-23,2.39,2723,64,3
ID-Android-App_Engagement,2015-11-03,2015-11-03,23.54,52282,855,3
ID-Android-App_Engagement,2015-11-02,2015-11-02,23.45,54361,867,10
ID-Android-App_Engagement,2015-11-01,2015-11-01,25.17,51366,843,3
ID-Android-App_Engagement,2015-11-04,2015-11-04,11.22,28076,411,5
TH-Android-App_Engagement,2015-10-19,2015-10-19,1.17,2400,46,1
TH-Android-App_Engagement,2015-10-22,2015-10-22,2.2,2474,62,
TH-Android-App_Engagement,2015-10-21,2015-10-21,1.7,2698,45,
TH-Android-App_Engagement,2015-10-20,2015-10-20,1.39,2633,42,
AU-Android-Mobile_Installs,2015-10-27,2015-10-27,1.65,311,3,
AU-Android-Mobile_Installs,2015-10-26,2015-10-26,0,430,0,
PH-IOS-App_Engagement,2015-10-31,2015-10-31,0.23,884,3,
